dataset,field_id,scene_date,scene_id,polarization,zonal_mean_db,zonal_min_db,zonal_max_db,zonal_median_db,valid_pixel_count,nodata_pixel_count,radar_raster
sp,SP_1_1,2026-05-18,S1D_IW_GRDH_1SDV_20260518T034527_20260518T034556_002833_004D0E_rtc,VH,-12.479872508107075,-19.032049294290637,-7.480688747091403,-12.7332042851075,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-18/sentinel_rtc.tif
sp,SP_1_1,2026-05-18,S1D_IW_GRDH_1SDV_20260518T034527_20260518T034556_002833_004D0E_rtc,VV,-3.5636312335329485,-9.653834032300495,1.0274223499537722,-3.7869366039885577,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-18/sentinel_rtc.tif
sp,SP_1_1,2026-05-24,S1C_IW_GRDH_1SDV_20260524T033658_20260524T033723_007790_00FD50_rtc,VH,-21.54859511901155,-28.755995189566356,-12.490940769632441,-22.134660316043853,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-24/sentinel_rtc.tif
sp,SP_1_1,2026-05-24,S1C_IW_GRDH_1SDV_20260524T033658_20260524T033723_007790_00FD50_rtc,VV,-9.817488473721617,-18.813783964560425,-3.973580873822794,-10.226333477834821,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-24/sentinel_rtc.tif
sp,SP_1_1,2026-05-25,S1D_IW_GRDH_1SDV_20260525T033707_20260525T033732_002935_005068_rtc,VH,-20.135263572956767,-27.081453269962907,-11.93561829174228,-20.843083988283894,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-25/sentinel_rtc.tif
sp,SP_1_1,2026-05-25,S1D_IW_GRDH_1SDV_20260525T033707_20260525T033732_002935_005068_rtc,VV,-5.852569478460593,-14.237822476109033,0.3913683758252115,-6.261456605965209,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-25/sentinel_rtc.tif
sp,SP_1_1,2026-05-27,S1C_IW_GRDH_1SDV_20260527T151315_20260527T151339_007841_00FF16_rtc,VH,-20.79040943483948,-28.61062348945684,-10.907603089295346,-21.4440404417981,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-27/sentinel_rtc.tif
sp,SP_1_1,2026-05-27,S1C_IW_GRDH_1SDV_20260527T151315_20260527T151339_007841_00FF16_rtc,VV,-4.727693059668205,-13.748144764272212,4.582491785452358,-5.542482584050905,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-27/sentinel_rtc.tif
sp,SP_1_1,2026-05-28,S1D_IW_GRDH_1SDV_20260528T151325_20260528T151349_002986_005220_rtc,VH,-22.855740317232794,-29.034025608832973,-13.482518089521205,-23.47823778241498,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-28/sentinel_rtc.tif
sp,SP_1_1,2026-05-28,S1D_IW_GRDH_1SDV_20260528T151325_20260528T151349_002986_005220_rtc,VV,-10.941041659041314,-18.438098217069005,-2.6265808520249667,-11.39569562885054,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-28/sentinel_rtc.tif
