dataset,field_id,scene_date,scene_id,index,zonal_mean,zonal_min,zonal_max,zonal_median,valid_pixel_count,nodata_pixel_count,aoi_cloud_cover,analysis_raster
sp,SP_1_10,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,FCOVER,0.3027067482471466,0.12831073999404907,0.6606260538101196,0.2960386872291565,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-08-10/sentinel_analysis.tif
sp,SP_1_11,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDVI,0.07036832720041275,0.03923020139336586,0.224250927567482,0.0684128850698471,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-04-22/sentinel_analysis.tif
sp,SP_1_11,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDMI,-0.21747340261936188,-0.29481345415115356,-0.014339225366711617,-0.21884499490261078,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-04-22/sentinel_analysis.tif
sp,SP_1_11,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDRE,0.05468650534749031,-0.021155651658773422,0.20673741400241852,0.05308310687541962,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-04-22/sentinel_analysis.tif
sp,SP_1_11,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,SAVI,0.03912576660513878,0.020643988624215126,0.15498274564743042,0.037497617304325104,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-04-22/sentinel_analysis.tif
sp,SP_1_11,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,FCOVER,0.01808694191277027,0.0015529419761151075,0.03611356392502785,0.018177466467022896,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-04-22/sentinel_analysis.tif
sp,SP_1_11,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDVI,0.09108443558216095,0.048381734639406204,0.265102744102478,0.0906277447938919,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-05-05/sentinel_analysis.tif
sp,SP_1_11,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDMI,-0.2757222354412079,-0.3235347270965576,-0.07939168810844421,-0.27728304266929626,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-05-05/sentinel_analysis.tif
sp,SP_1_11,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDRE,0.0642712339758873,-0.002533071441575885,0.19280001521110535,0.06443417072296143,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-05-05/sentinel_analysis.tif
sp,SP_1_11,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,SAVI,0.061922986060380936,0.027197711169719696,0.1951206922531128,0.06234166771173477,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-05-05/sentinel_analysis.tif
sp,SP_1_11,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,FCOVER,0.0025368225760757923,0.0,0.04868754372000694,0.000772336614318192,5582,1814,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_11/2026-05-05/sentinel_analysis.tif
