scene_date,index,field_count,valid_count,mean,median,p25,p75
2026-08-03,NDWI,55,55,-0.466700735959,-0.462227106094,-0.530547112226,-0.423784956336
2026-08-03,MNDWI,55,55,-0.2632052089,-0.267382472754,-0.308990597725,-0.216589085758
2026-08-05,NDMI,6,6,0.144319102556,0.195832148195,0.0466205625562,0.236194312572
2026-08-05,NDRE,6,6,0.29834260419,0.351428642869,0.177615351975,0.392004296184
2026-08-05,SAVI,6,6,0.34455060338,0.387395471334,0.205595005303,0.420643411577
2026-08-05,NDVI,6,6,0.419107533991,0.489262133837,0.272700760513,0.513534232974
2026-08-05,NDWI,6,6,-0.394169827302,-0.432660520077,-0.454392299056,-0.294563271105
2026-08-05,MNDWI,6,6,-0.271245839695,-0.2719668895,-0.277886450291,-0.251301504672
2026-08-07,NDMI,22,22,0.184410224923,0.204794570803,0.160890832544,0.300700478256
2026-08-07,NDRE,22,22,0.367630421438,0.399927705527,0.339872747659,0.479650326073
2026-08-07,SAVI,22,22,0.409469324079,0.406745642423,0.343507528305,0.580761149526
2026-08-07,NDVI,22,22,0.481323009865,0.500483512879,0.44978260994,0.636038273572
2026-08-07,NDWI,22,22,-0.45049959218,-0.452039420604,-0.558343067766,-0.407581716776
2026-08-07,MNDWI,22,22,-0.299561445009,-0.28139397502,-0.349648110568,-0.265843957663
2026-08-08,NDMI,22,21,0.176861413799,0.206251338124,0.135140731931,0.261304348707
2026-08-08,NDRE,22,21,0.319418152883,0.351758420467,0.288666248322,0.392096161842
2026-08-08,SAVI,22,21,0.370729446411,0.383150279522,0.288392722607,0.469013988972
2026-08-08,NDVI,22,21,0.432321530013,0.463338315487,0.372457236052,0.503987014294
2026-08-08,NDWI,22,21,-0.396338193899,-0.41219112277,-0.461075276136,-0.33689814806
2026-08-08,MNDWI,22,21,-0.240320109186,-0.247534960508,-0.269044607878,-0.208186641335
2026-08-10,NDMI,55,53,0.205246541612,0.226369962096,0.119552351534,0.328897565603
2026-08-10,NDRE,55,53,0.353035409355,0.373946994543,0.256991744041,0.449573993683
2026-08-10,SAVI,55,53,0.401007066498,0.389922380447,0.322758406401,0.499148368835
2026-08-10,NDVI,55,53,0.468060435411,0.493302464485,0.406318634748,0.568991780281
2026-08-10,NDWI,55,53,-0.437973668834,-0.441848367453,-0.511563718319,-0.384021103382
2026-08-10,MNDWI,55,53,-0.262097878698,-0.26508975029,-0.317463338375,-0.23097038269
